year,sex,age,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),generation,continent
1988,female,35-54 years,-0.39887054999629323,1.41,-0.3050714932579941,-0.8522779212981083,Silent,EU
1988,female,5-14 years,-0.390511182990336,0.0,-0.3050714932579941,-0.8522779212981083,Generation X,EU
1988,male,5-14 years,-0.3834044428445986,0.0,-0.3050714932579941,-0.8522779212981083,Generation X,EU
1989,male,75+ years,-0.4658477412978466,8.89,-0.3049276273035616,-0.8488894505700517,G.I. Generation,EU
1989,male,25-34 years,-0.3991006243175581,6.35,-0.3049276273035616,-0.8488894505700517,Boomers,EU
1989,male,35-54 years,-0.39020441722864946,4.71,-0.3049276273035616,-0.8488894505700517,Silent,EU
1989,male,55-74 years,-0.4352734203830917,4.22,-0.3049276273035616,-0.8488894505700517,G.I. Generation,EU
1989,male,15-24 years,-0.38890066274148183,3.71,-0.3049276273035616,-0.8488894505700517,Generation X,EU
1989,female,35-54 years,-0.3978224336438643,2.43,-0.3049276273035616,-0.8488894505700517,Silent,EU
1989,female,15-24 years,-0.39493372272131644,1.67,-0.3049276273035616,-0.8488894505700517,Generation X,EU
1989,female,25-34 years,-0.40352316404853855,0.75,-0.3049276273035616,-0.8488894505700517,Boomers,EU
1989,female,55-74 years,-0.43335613437255105,0.67,-0.3049276273035616,-0.8488894505700517,G.I. Generation,EU
1989,female,5-14 years,-0.3893096837570638,0.0,-0.3049276273035616,-0.8488894505700517,Generation X,EU
1989,female,75+ years,-0.4621409883441347,0.0,-0.3049276273035616,-0.8488894505700517,G.I. Generation,EU
1989,male,5-14 years,-0.3822029436113265,0.0,-0.3049276273035616,-0.8488894505700517,Generation X,EU
1992,male,35-54 years,-0.38371120860628516,3.49,-0.30604599634320995,-0.8797033562533165,Boomers,EU
1992,male,15-24 years,-0.40418782319885926,3.41,-0.30604599634320995,-0.8797033562533165,Generation X,EU
1992,male,55-74 years,-0.4308253168386374,3.13,-0.30604599634320995,-0.8797033562533165,Silent,EU
1992,male,25-34 years,-0.4088404372511046,2.85,-0.30604599634320995,-0.8797033562533165,Boomers,EU
1992,female,15-24 years,-0.3968510087318571,2.39,-0.30604599634320995,-0.8797033562533165,Generation X,EU
1992,female,25-34 years,-0.4032419621003259,1.5,-0.30604599634320995,-0.8797033562533165,Boomers,EU
1992,female,35-54 years,-0.38900291799537734,0.62,-0.30604599634320995,-0.8797033562533165,Boomers,EU
1992,female,55-74 years,-0.4294448709110481,0.61,-0.30604599634320995,-0.8797033562533165,Silent,EU
1992,female,5-14 years,-0.3855262393629303,0.0,-0.30604599634320995,-0.8797033562533165,Millenials,EU
1992,female,75+ years,-0.4617064035150788,0.0,-0.30604599634320995,-0.8797033562533165,G.I. Generation,EU
1992,male,5-14 years,-0.37882852023277497,0.0,-0.30604599634320995,-0.8797033562533165,Millenials,EU
1992,male,75+ years,-0.46548984790921233,0.0,-0.30604599634320995,-0.8797033562533165,G.I. Generation,EU
1993,male,15-24 years,-0.40940284114752984,7.4,-0.30568921669872756,-0.869855613199902,Generation X,EU
1993,male,55-74 years,-0.42941930709757425,4.24,-0.30568921669872756,-0.869855613199902,Silent,EU
1993,male,75+ years,-0.4654131564687907,4.13,-0.30568921669872756,-0.869855613199902,G.I. Generation,EU
1993,male,25-34 years,-0.4127772645260814,3.91,-0.30568921669872756,-0.869855613199902,Boomers,EU
1993,female,15-24 years,-0.3986660394885022,3.51,-0.30568921669872756,-0.869855613199902,Generation X,EU
1993,male,35-54 years,-0.38204956073048324,2.85,-0.30568921669872756,-0.869855613199902,Boomers,EU
1993,female,25-34 years,-0.4046735356548629,2.67,-0.30568921669872756,-0.869855613199902,Boomers,EU
1993,female,35-54 years,-0.38693224910399343,2.11,-0.30568921669872756,-0.869855613199902,Boomers,EU
1993,female,55-74 years,-0.42826893549124984,1.18,-0.30568921669872756,-0.869855613199902,Silent,EU
1993,female,5-14 years,-0.3846059420778708,0.29,-0.30568921669872756,-0.869855613199902,Millenials,EU
1993,male,5-14 years,-0.37778040388034606,0.27,-0.30568921669872756,-0.869855613199902,Millenials,EU
1993,female,75+ years,-0.46155302063423553,0.0,-0.30568921669872756,-0.869855613199902,G.I. Generation,EU
1994,male,75+ years,-0.4653109012148952,8.13,-0.3051680296077421,-0.856089950867172,G.I. Generation,EU
1994,male,55-74 years,-0.42778322303524624,6.42,-0.3051680296077421,-0.856089950867172,Silent,EU
1994,female,75+ years,-0.4613996377533923,5.01,-0.3051680296077421,-0.856089950867172,G.I. Generation,EU
1994,male,25-34 years,-0.41244493495092105,2.59,-0.3051680296077421,-0.856089950867172,Boomers,EU
1994,male,35-54 years,-0.3788540840462488,2.48,-0.3051680296077421,-0.856089950867172,Boomers,EU
1994,male,15-24 years,-0.40968404309574247,2.48,-0.3051680296077421,-0.856089950867172,Generation X,EU
1994,female,15-24 years,-0.39935626245229683,2.12,-0.3051680296077421,-0.856089950867172,Generation X,EU
1994,female,25-34 years,-0.40485248234918003,1.53,-0.3051680296077421,-0.856089950867172,Boomers,EU
1994,female,35-54 years,-0.38404353818144554,0.58,-0.3051680296077421,-0.856089950867172,Boomers,EU
1994,female,55-74 years,-0.4269651810040822,0.57,-0.3051680296077421,-0.856089950867172,Silent,EU
1994,male,5-14 years,-0.37655334083360004,0.27,-0.3051680296077421,-0.856089950867172,Millenials,EU
1994,female,5-14 years,-0.3835578257254419,0.0,-0.3051680296077421,-0.856089950867172,Millenials,EU
1995,male,25-34 years,-0.4120614777488129,5.58,-0.3048661431215152,-0.8487835608597999,Generation X,EU
1995,male,55-74 years,-0.42609601134597047,5.06,-0.3048661431215152,-0.8487835608597999,Silent,EU
1995,female,75+ years,-0.4611695634321274,4.9,-0.3048661431215152,-0.8487835608597999,G.I. Generation,EU
1995,female,15-24 years,-0.39912618813103196,4.59,-0.3048661431215152,-0.8487835608597999,Generation X,EU
1995,male,15-24 years,-0.40993968123048125,4.56,-0.3048661431215152,-0.8487835608597999,Generation X,EU
1995,male,75+ years,-0.46518308214752585,3.98,-0.3048661431215152,-0.8487835608597999,G.I. Generation,EU
1995,male,35-54 years,-0.3755052244811712,3.72,-0.3048661431215152,-0.8487835608597999,Boomers,EU
1995,female,25-34 years,-0.40411113175843766,2.65,-0.3048661431215152,-0.8487835608597999,Generation X,EU
1995,female,35-54 years,-0.38049016810857683,2.24,-0.3048661431215152,-0.8487835608597999,Boomers,EU
1995,male,5-14 years,-0.3753518416003279,1.59,-0.3048661431215152,-0.8487835608597999,Millenials,EU
1995,female,55-74 years,-0.42548247982259746,1.11,-0.3048661431215152,-0.8487835608597999,Silent,EU
1995,female,5-14 years,-0.38245858174606523,0.57,-0.3048661431215152,-0.8487835608597999,Millenials,EU
1996,male,75+ years,-0.46510639070710424,7.87,-0.3042535996665226,-0.8333236631630416,G.I. Generation,EU
1996,male,15-24 years,-0.40932614970710823,6.98,-0.3042535996665226,-0.8333236631630416,Generation X,EU
1996,male,25-34 years,-0.4114479462254399,5.95,-0.3042535996665226,-0.8333236631630416,Generation X,EU
1996,female,15-24 years,-0.3980525079651292,5.56,-0.3042535996665226,-0.8333236631630416,Generation X,EU
1996,female,75+ years,-0.46106730817823194,4.85,-0.3042535996665226,-0.8333236631630416,G.I. Generation,EU
1996,female,25-34 years,-0.4031141430329565,3.73,-0.3042535996665226,-0.8333236631630416,Generation X,EU
1996,male,35-54 years,-0.3745593633826378,3.16,-0.3042535996665226,-0.8333236631630416,Boomers,EU
1996,female,35-54 years,-0.37905859455403984,2.49,-0.3042535996665226,-0.8333236631630416,Boomers,EU
1996,male,55-74 years,-0.4256102988899668,1.67,-0.3042535996665226,-0.8333236631630416,Silent,EU
1996,female,55-74 years,-0.4247922568588028,0.55,-0.3042535996665226,-0.8333236631630416,Silent,EU
1996,male,5-14 years,-0.37435485287484677,0.53,-0.3042535996665226,-0.8333236631630416,Millenials,EU
1996,female,5-14 years,-0.381078135818476,0.28,-0.3042535996665226,-0.8333236631630416,Millenials,EU
1997,male,25-34 years,-0.4112689995311228,15.25,-0.30491058138323934,-0.851007244775087,Generation X,EU
1997,male,15-24 years,-0.4091216391993172,13.5,-0.30491058138323934,-0.851007244775087,Generation X,EU
1997,male,75+ years,-0.46510639070710424,11.81,-0.30491058138323934,-0.851007244775087,G.I. Generation,EU
1997,male,35-54 years,-0.37425259762095126,7.88,-0.30491058138323934,-0.851007244775087,Boomers,EU
1997,female,15-24 years,-0.3964419877162751,7.14,-0.30491058138323934,-0.851007244775087,Generation X,EU
1997,male,55-74 years,-0.4255080436360713,6.66,-0.30491058138323934,-0.851007244775087,Silent,EU
1997,female,25-34 years,-0.401580314224524,5.84,-0.30491058138323934,-0.851007244775087,Generation X,EU
1997,female,75+ years,-0.46083723385696707,4.75,-0.30491058138323934,-0.851007244775087,G.I. Generation,EU
1997,female,35-54 years,-0.37698792566265593,1.89,-0.30491058138323934,-0.851007244775087,Boomers,EU
1997,female,5-14 years,-0.3791097221809876,1.66,-0.30491058138323934,-0.851007244775087,Millenials,EU
1997,male,5-14 years,-0.37407365092663414,1.05,-0.30491058138323934,-0.851007244775087,Millenials,EU
1997,female,55-74 years,-0.4237952681333217,0.0,-0.30491058138323934,-0.851007244775087,Silent,EU
1998,male,75+ years,-0.46500413545320873,11.63,-0.3046717135525569,-0.8453950901317433,G.I. Generation,EU
1998,male,15-24 years,-0.4079968314064667,10.85,-0.3046717135525569,-0.8453950901317433,Generation X,EU
1998,female,15-24 years,-0.39603296670069305,10.83,-0.3046717135525569,-0.8453950901317433,Generation X,EU
1998,male,25-34 years,-0.41014419173827227,10.82,-0.3046717135525569,-0.8453950901317433,Generation X,EU
1998,male,35-54 years,-0.3723608754238845,7.47,-0.3046717135525569,-0.8453950901317433,Boomers,EU
1998,male,55-74 years,-0.42461331016448567,4.9,-0.3046717135525569,-0.8453950901317433,Silent,EU
1998,female,25-34 years,-0.40122242083588977,3.63,-0.3046717135525569,-0.8453950901317433,Generation X,EU
1998,female,55-74 years,-0.42348850237163516,3.19,-0.3046717135525569,-0.8453950901317433,Silent,EU
1998,female,35-54 years,-0.37647664939317843,2.42,-0.3046717135525569,-0.8453950901317433,Boomers,EU
1998,male,5-14 years,-0.37230974779693676,0.51,-0.3046717135525569,-0.8453950901317433,Millenials,EU
1998,female,5-14 years,-0.3785984459115101,0.27,-0.3046717135525569,-0.8453950901317433,Millenials,EU
1998,female,75+ years,-0.4607861062300193,0.0,-0.3046717135525569,-0.8453950901317433,G.I. Generation,EU
1999,male,75+ years,-0.46497857163973483,11.58,-0.30418489993002806,-0.8333236631630416,G.I. Generation,EU
1999,male,15-24 years,-0.40753668276393695,9.58,-0.30418489993002806,-0.8333236631630416,Generation X,EU
1999,female,75+ years,-0.4607605424165454,9.43,-0.30418489993002806,-0.8333236631630416,G.I. Generation,EU
1999,male,35-54 years,-0.3716195248331421,7.93,-0.30418489993002806,-0.8333236631630416,Boomers,EU
1999,male,25-34 years,-0.4096584792822686,7.84,-0.30418489993002806,-0.8333236631630416,Generation X,EU
1999,male,55-74 years,-0.42425541677585143,7.56,-0.30418489993002806,-0.8333236631630416,Silent,EU
1999,female,15-24 years,-0.39572620093900657,6.4,-0.30418489993002806,-0.8333236631630416,Generation X,EU
1999,female,25-34 years,-0.40091565507420324,4.7,-0.30418489993002806,-0.8333236631630416,Generation X,EU
1999,female,55-74 years,-0.42333511949079194,3.18,-0.30418489993002806,-0.8333236631630416,Silent,EU
1999,female,35-54 years,-0.3760931921910703,1.34,-0.30418489993002806,-0.8333236631630416,Boomers,EU
1999,female,5-14 years,-0.3782405525228758,0.27,-0.30418489993002806,-0.8333236631630416,Millenials,EU
1999,male,5-14 years,-0.37156839720619433,0.0,-0.30418489993002806,-0.8333236631630416,Millenials,EU
2000,male,25-34 years,-0.4122915520700778,7.33,-0.30403542173773335,-0.8242171480813895,Generation X,EU
2000,male,55-74 years,-0.4262493942268137,5.64,-0.30403542173773335,-0.8242171480813895,Silent,EU
2000,female,75+ years,-0.4619364778363437,5.29,-0.30403542173773335,-0.8242171480813895,G.I. Generation,EU
2000,male,75+ years,-0.4652342097744736,4.02,-0.30403542173773335,-0.8242171480813895,G.I. Generation,EU
2000,female,15-24 years,-0.40413669557191156,2.27,-0.30403542173773335,-0.8242171480813895,Generation X,EU
2000,male,15-24 years,-0.4102464469921677,2.08,-0.30403542173773335,-0.8242171480813895,Generation X,EU
2000,female,35-54 years,-0.3866766109692547,1.51,-0.30403542173773335,-0.8242171480813895,Boomers,EU
2000,female,25-34 years,-0.408763745810683,1.22,-0.30403542173773335,-0.8242171480813895,Generation X,EU
2000,male,35-54 years,-0.37581199024285766,1.07,-0.30403542173773335,-0.8242171480813895,Boomers,EU
2000,male,5-14 years,-0.3757608626159099,0.27,-0.30403542173773335,-0.8242171480813895,Millenials,EU
2000,female,5-14 years,-0.38859389697979535,0.0,-0.30403542173773335,-0.8242171480813895,Millenials,EU
2000,female,55-74 years,-0.428652392693358,0.0,-0.30403542173773335,-0.8242171480813895,Silent,EU
2001,male,25-34 years,-0.4188144147160718,10.65,-0.303740490566273,-0.816169530102255,Generation X,EU
2001,male,35-54 years,-0.3747572272989256,8.98,-0.303740490566273,-0.816169530102255,Boomers,EU
2001,male,55-74 years,-0.42132324737039795,5.59,-0.303740490566273,-0.816169530102255,Silent,EU
2001,female,75+ years,-0.4595196749105235,4.23,-0.303740490566273,-0.816169530102255,Silent,EU
2001,male,15-24 years,-0.4061462669490929,3.91,-0.303740490566273,-0.816169530102255,Millenials,EU
2001,female,15-24 years,-0.4022298907248952,3.32,-0.303740490566273,-0.816169530102255,Millenials,EU
2001,female,35-54 years,-0.3769646625923947,3.24,-0.303740490566273,-0.816169530102255,Boomers,EU
2001,male,75+ years,-0.4636635690746387,3.22,-0.303740490566273,-0.816169530102255,Silent,EU
2001,female,55-74 years,-0.4230797369941879,3.16,-0.303740490566273,-0.816169530102255,Silent,EU
2001,male,5-14 years,-0.389397623275414,1.87,-0.303740490566273,-0.816169530102255,Millenials,EU
2001,female,25-34 years,-0.4146508364155817,1.8,-0.303740490566273,-0.816169530102255,Generation X,EU
2001,female,5-14 years,-0.39302768478870426,0.65,-0.303740490566273,-0.816169530102255,Millenials,EU
2002,male,75+ years,-0.463673027685624,12.9,-0.3034829800595894,-0.8097102577768971,Silent,EU
2002,male,25-34 years,-0.4188650310667501,11.15,-0.3034829800595894,-0.8097102577768971,Generation X,EU
2002,male,35-54 years,-0.3739102981585361,9.16,-0.3034829800595894,-0.8097102577768971,Boomers,EU
2002,male,55-74 years,-0.42095001569367935,6.56,-0.3034829800595894,-0.8097102577768971,Silent,EU
2002,male,15-24 years,-0.40434964213814895,5.7,-0.3034829800595894,-0.8097102577768971,Millenials,EU
2002,female,15-24 years,-0.4010511432856148,5.07,-0.3034829800595894,-0.8097102577768971,Millenials,EU
2002,female,35-54 years,-0.37570641169321056,4.0,-0.3034829800595894,-0.8097102577768971,Boomers,EU
2002,female,25-34 years,-0.4144171831604305,3.13,-0.3034829800595894,-0.8097102577768971,Generation X,EU
2002,female,75+ years,-0.4594805622759085,2.11,-0.3034829800595894,-0.8097102577768971,Silent,EU
2002,female,55-74 years,-0.42259070124243264,2.09,-0.3034829800595894,-0.8097102577768971,Silent,EU
2002,female,5-14 years,-0.3936683139543596,0.33,-0.3034829800595894,-0.8097102577768971,Millenials,EU
2002,male,5-14 years,-0.3899301175100748,0.31,-0.3034829800595894,-0.8097102577768971,Millenials,EU
2003,female,75+ years,-0.4590508345714126,12.22,-0.3025804908928334,-0.7859909626805008,Silent,EU
2003,male,55-74 years,-0.420083402416915,7.94,-0.3025804908928334,-0.7859909626805008,Silent,EU
2003,male,35-54 years,-0.37287317424590094,7.25,-0.3025804908928334,-0.7859909626805008,Boomers,EU
2003,male,15-24 years,-0.4017503135841253,5.49,-0.3025804908928334,-0.7859909626805008,Millenials,EU
2003,female,15-24 years,-0.3990727597608716,4.93,-0.3025804908928334,-0.7859909626805008,Millenials,EU
2003,female,55-74 years,-0.4215714719992293,4.6,-0.3025804908928334,-0.7859909626805008,Silent,EU
2003,male,25-34 years,-0.41908309039568226,4.38,-0.3025804908928334,-0.7859909626805008,Generation X,EU
2003,female,25-34 years,-0.41460737793267616,4.04,-0.3025804908928334,-0.7859909626805008,Generation X,EU
2003,female,35-54 years,-0.3740071850116021,3.41,-0.3025804908928334,-0.7859909626805008,Boomers,EU
2003,male,75+ years,-0.4632486683819577,3.06,-0.3025804908928334,-0.7859909626805008,Silent,EU
2003,male,5-14 years,-0.391532712976752,1.28,-0.3025804908928334,-0.7859909626805008,Millenials,EU
2003,female,5-14 years,-0.39529749578704965,0.0,-0.3025804908928334,-0.7859909626805008,Millenials,EU
2004,male,75+ years,-0.4625177989547396,11.26,-0.30150185268990093,-0.7583008034496632,Silent,EU
2004,male,35-54 years,-0.3714490141972714,9.95,-0.30150185268990093,-0.7583008034496632,Boomers,EU
2004,male,25-34 years,-0.41946526940711665,7.85,-0.30150185268990093,-0.7583008034496632,Generation X,EU
2004,female,15-24 years,-0.3968847529656426,6.84,-0.30150185268990093,-0.7583008034496632,Millenials,EU
2004,male,15-24 years,-0.3982907627067057,6.63,-0.30150185268990093,-0.7583008034496632,Millenials,EU
2004,female,75+ years,-0.4585697236018343,5.89,-0.30150185268990093,-0.7583008034496632,Silent,EU
2004,female,25-34 years,-0.41474849018305193,4.95,-0.30150185268990093,-0.7583008034496632,Generation X,EU
2004,male,55-74 years,-0.4186308665353294,4.83,-0.30150185268990093,-0.7583008034496632,Silent,EU
2004,female,35-54 years,-0.37153363041986986,4.34,-0.30150185268990093,-0.7583008034496632,Boomers,EU
2004,female,55-74 years,-0.41949006630618635,1.47,-0.30150185268990093,-0.7583008034496632,Silent,EU
2004,female,5-14 years,-0.3983068679091943,1.05,-0.30150185268990093,-0.7583008034496632,Millenials,EU
2004,male,5-14 years,-0.39435061213597733,0.33,-0.30150185268990093,-0.7583008034496632,Millenials,EU
2005,female,15-24 years,-0.39952958510764974,0.0,-0.300921446976429,-0.7378111445159459,Millenials,EU
2005,female,25-34 years,-0.42283790331872506,0.0,-0.300921446976429,-0.7378111445159459,Generation X,EU
2005,female,35-54 years,-0.37279213695718877,0.0,-0.300921446976429,-0.7378111445159459,Boomers,EU
2005,female,5-14 years,-0.40090057242425364,0.0,-0.300921446976429,-0.7378111445159459,Millenials,EU
2005,female,55-74 years,-0.41766046417586106,0.0,-0.300921446976429,-0.7378111445159459,Silent,EU
2005,female,75+ years,-0.45800195130457955,0.0,-0.300921446976429,-0.7378111445159459,Silent,EU
2005,male,15-24 years,-0.3995927277269302,0.0,-0.300921446976429,-0.7378111445159459,Millenials,EU
2005,male,25-34 years,-0.4262189732887798,0.0,-0.300921446976429,-0.7378111445159459,Generation X,EU
2005,male,35-54 years,-0.3743952437001355,0.0,-0.300921446976429,-0.7378111445159459,Boomers,EU
2005,male,5-14 years,-0.3971150829250422,0.0,-0.300921446976429,-0.7378111445159459,Millenials,EU
2005,male,55-74 years,-0.41686287319547616,0.0,-0.300921446976429,-0.7378111445159459,Silent,EU
2005,male,75+ years,-0.461764944647934,0.0,-0.300921446976429,-0.7378111445159459,Silent,EU
2006,female,15-24 years,-0.3992187291358074,0.0,-0.30034763856835034,-0.721715908557677,Millenials,EU
2006,female,25-34 years,-0.42395095175737757,0.0,-0.30034763856835034,-0.721715908557677,Generation X,EU
2006,female,35-54 years,-0.37222129700231715,0.0,-0.30034763856835034,-0.721715908557677,Boomers,EU
2006,female,5-14 years,-0.403263435703644,0.0,-0.30034763856835034,-0.721715908557677,Millenials,EU
2006,female,55-74 years,-0.4164055365724285,0.0,-0.30034763856835034,-0.721715908557677,Silent,EU
2006,female,75+ years,-0.45728105176461625,0.0,-0.30034763856835034,-0.721715908557677,Silent,EU
2006,male,15-24 years,-0.39831351450069746,0.0,-0.30034763856835034,-0.721715908557677,Millenials,EU
2006,male,25-34 years,-0.4270950451765295,0.0,-0.30034763856835034,-0.721715908557677,Generation X,EU
2006,male,35-54 years,-0.3746933177652409,0.0,-0.30034763856835034,-0.721715908557677,Boomers,EU
2006,male,5-14 years,-0.39933632267778724,0.0,-0.30034763856835034,-0.721715908557677,Millenials,EU
2006,male,55-74 years,-0.4155228180931756,0.0,-0.30034763856835034,-0.721715908557677,Silent,EU
2006,male,75+ years,-0.46117416491855273,0.0,-0.30034763856835034,-0.721715908557677,Silent,EU
2007,male,75+ years,-0.46076923411312654,18.88,-0.2991723786537081,-0.6884665395386215,Silent,EU
2007,male,35-54 years,-0.37480835492587333,7.66,-0.2991723786537081,-0.6884665395386215,Boomers,EU
2007,male,55-74 years,-0.4142957550464296,6.25,-0.2991723786537081,-0.6884665395386215,Silent,EU
2007,female,75+ years,-0.45692494784292514,5.23,-0.2991723786537081,-0.6884665395386215,Silent,EU
2007,male,25-34 years,-0.427503554915842,5.22,-0.2991723786537081,-0.6884665395386215,Generation X,EU
2007,female,15-24 years,-0.39974483241709974,4.63,-0.2991723786537081,-0.6884665395386215,Millenials,EU
2007,male,15-24 years,-0.3978865988156838,4.51,-0.2991723786537081,-0.6884665395386215,Millenials,EU
2007,female,25-34 years,-0.424657024285526,4.36,-0.2991723786537081,-0.6884665395386215,Generation X,EU
2007,female,55-74 years,-0.4150728949760354,4.07,-0.2991723786537081,-0.6884665395386215,Silent,EU
2007,female,35-54 years,-0.37143776611934287,3.57,-0.2991723786537081,-0.6884665395386215,Boomers,EU
2007,male,5-14 years,-0.4019389745275625,1.47,-0.2991723786537081,-0.6884665395386215,Generation Z,EU
2007,female,5-14 years,-0.4059496812234788,0.0,-0.2991723786537081,-0.6884665395386215,Generation Z,EU
2008,male,25-34 years,-0.42741126954920133,12.15,-0.29767242969072083,-0.6456341517417808,Generation X,EU
2008,male,35-54 years,-0.3751936015949246,9.81,-0.29767242969072083,-0.6456341517417808,Boomers,EU
2008,male,55-74 years,-0.41314231578248833,9.18,-0.29767242969072083,-0.6456341517417808,Silent,EU
2008,female,75+ years,-0.4564226189081635,8.42,-0.29767242969072083,-0.6456341517417808,Silent,EU
2008,female,15-24 years,-0.4010248125577367,7.24,-0.29767242969072083,-0.6456341517417808,Millenials,EU
2008,female,25-34 years,-0.42490397072368363,4.93,-0.29767242969072083,-0.6456341517417808,Generation X,EU
2008,female,35-54 years,-0.37092112144903583,4.82,-0.29767242969072083,-0.6456341517417808,Boomers,EU
2008,male,75+ years,-0.4602047851116234,4.49,-0.29767242969072083,-0.6456341517417808,Silent,EU
2008,male,15-24 years,-0.3983076348235985,3.84,-0.29767242969072083,-0.6456341517417808,Millenials,EU
2008,female,55-74 years,-0.41371085499414734,3.09,-0.29767242969072083,-0.6456341517417808,Silent,EU
2008,male,5-14 years,-0.4045037919333964,2.67,-0.29767242969072083,-0.6456341517417808,Generation Z,EU
2008,female,5-14 years,-0.4086389944009305,0.41,-0.29767242969072083,-0.6456341517417808,Generation Z,EU
2009,female,15-24 years,-0.40257653603560095,0.0,-0.29824833367603787,-0.6607234354526579,Millenials,EU
2009,female,25-34 years,-0.4248914444550814,0.0,-0.29824833367603787,-0.6607234354526579,Generation X,EU
2009,female,35-54 years,-0.37080506173586447,0.0,-0.29824833367603787,-0.6607234354526579,Boomers,EU
2009,female,5-14 years,-0.4112245184956782,0.0,-0.29824833367603787,-0.6607234354526579,Generation Z,EU
2009,female,55-74 years,-0.4119587112186479,0.0,-0.29824833367603787,-0.6607234354526579,Silent,EU
2009,female,75+ years,-0.45585689171598665,0.0,-0.29824833367603787,-0.6607234354526579,Silent,EU
2009,male,15-24 years,-0.39913948131403837,0.0,-0.29824833367603787,-0.6607234354526579,Millenials,EU
2009,male,25-34 years,-0.42687442946625,0.0,-0.29824833367603787,-0.6607234354526579,Generation X,EU
2009,male,35-54 years,-0.37589762901799517,0.0,-0.29824833367603787,-0.6607234354526579,Boomers,EU
2009,male,5-14 years,-0.40692136177362076,0.0,-0.29824833367603787,-0.6607234354526579,Generation Z,EU
2009,male,55-74 years,-0.41163456206379917,0.0,-0.29824833367603787,-0.6607234354526579,Silent,EU
2009,male,75+ years,-0.4594999907741486,0.0,-0.29824833367603787,-0.6607234354526579,Silent,EU
2010,male,55-74 years,-0.40977300516663157,8.27,-0.2983290015622894,-0.6622058913961827,Silent,EU
2010,male,35-54 years,-0.3766016564410657,5.38,-0.2983290015622894,-0.6622058913961827,Generation X,EU
2010,male,25-34 years,-0.4256563137542198,5.01,-0.2983290015622894,-0.6622058913961827,Generation X,EU
2010,male,75+ years,-0.45862161814318625,3.94,-0.2983290015622894,-0.6622058913961827,Silent,EU
2010,male,15-24 years,-0.40014669556490906,3.58,-0.2983290015622894,-0.6622058913961827,Millenials,EU
2010,female,25-34 years,-0.42466980619226297,3.27,-0.2983290015622894,-0.6622058913961827,Generation X,EU
2010,female,75+ years,-0.45513266888027176,3.1,-0.2983290015622894,-0.6622058913961827,Silent,EU
2010,female,35-54 years,-0.37072658082849963,3.04,-0.2983290015622894,-0.6622058913961827,Generation X,EU
2010,female,55-74 years,-0.40986529053327225,2.9,-0.2983290015622894,-0.6622058913961827,Silent,EU
2010,female,15-24 years,-0.4042182441368932,2.28,-0.2983290015622894,-0.6622058913961827,Millenials,EU
2010,female,5-14 years,-0.4143445819301647,0.89,-0.2983290015622894,-0.6622058913961827,Generation Z,EU
2010,male,5-14 years,-0.4100064027836481,0.0,-0.2983290015622894,-0.6622058913961827,Generation Z,EU
